Value;Language Pair
[0.16893819151446224, 0.13334685870679094, 0.15639707104302944, 0.1838483319617808, 0.18696802084101363, 0.20964010910654907, 0.21468697320669888, 0.22364462123718112, 0.25292110899463294, 0.3272639136528596, 0.38732057887129484, 0.46621772659942506, 0.6975868912041188];en-it
[0.17950869132066147, 0.13569276747759432, 0.1660123336035758, 0.194581648807507, 0.19523571060446557, 0.22880445938557387, 0.23970724204205907, 0.24362078772392123, 0.2701037254046969, 0.34040782029973343, 0.3902494369354099, 0.4648807513108477, 0.6515005998313427];en-it
[0.18790346547029912, 0.14272128275595605, 0.16782194936182349, 0.20229785598930902, 0.2120058383559808, 0.23985646087676288, 0.2480440900544636, 0.25745449505164286, 0.28006994097027926, 0.3697052102349698, 0.4292035875329748, 0.501356468256563, 0.7040668072178959];en-it
[0.20091472839005292, 0.15196956186555327, 0.17554502155166118, 0.20786488146986812, 0.21581361313932576, 0.24570489758625627, 0.24535959377419203, 0.25440333954058586, 0.279375819171546, 0.35994445528136565, 0.4119196971060592, 0.48120937252417206, 0.6666944471979513];en-it
[0.16276411669445223, 0.11927762032020837, 0.14553456452675165, 0.1785129109979607, 0.18761464159935712, 0.20793273478397167, 0.21277450615540147, 0.21780885374872014, 0.23686292437254453, 0.31274411008227615, 0.3652498815441504, 0.44156387631082905, 0.636722335817758];en-it
[0.1716155548207462, 0.1237007000297308, 0.14875829151642392, 0.18135880287969486, 0.1891053005377762, 0.21860591772478075, 0.2291752985678613, 0.2419408882409334, 0.2751232776674442, 0.3653976462967694, 0.4184387985244393, 0.48977519702166317, 0.6723772041499615];en-it
[0.15753153017256408, 0.11941765232011675, 0.14525888482748997, 0.1700132080365438, 0.17093693866278045, 0.19658827799372375, 0.2081210514018312, 0.21980882693082093, 0.2561564551666379, 0.3457366964081302, 0.4120335985021666, 0.4892004410200752, 0.693412277684547];en-it
[0.15914333824301138, 0.10842195459899813, 0.1350174046738539, 0.17241483645513653, 0.18470064260764046, 0.21288044122513383, 0.2234499994525686, 0.23773857368156315, 0.2648023099743295, 0.3478799127647653, 0.41535927731369154, 0.4850289714615792, 0.6832111926970538];en-it
[0.14038575845304876, 0.10601189437038556, 0.1243782906566048, 0.14810057797236367, 0.15559237191919237, 0.17818932518013753, 0.1886154660047032, 0.20628976641222835, 0.2325271484797122, 0.3099811417143792, 0.37048953887075187, 0.44852471750229594, 0.6557974823564291];en-it
[0.1614993509091437, 0.12844911171123385, 0.15063158564269544, 0.1784504106757231, 0.1865938992612064, 0.20901781505672262, 0.2192647727858275, 0.23287933699321, 0.2608588808565401, 0.35666213484015313, 0.42406450951471925, 0.5076136843767017, 0.6937541005015373];en-it
[0.19347499144845642, 0.13232202682062053, 0.16459146701497956, 0.21120708498056046, 0.22342438955325633, 0.26304476206132676, 0.2735416975361295, 0.30059809515281816, 0.34005380949005487, 0.4316983881406486, 0.4781507925526239, 0.5345973747689277, 0.7111997681856156];en-ru
[0.19592671863734723, 0.14803284579887988, 0.18218734363559633, 0.22246286911191418, 0.23483689138665795, 0.27670823213644324, 0.29057847168296574, 0.3106740394898225, 0.34245148175396023, 0.4347543788980693, 0.48048309348523616, 0.5384936569677666, 0.7201389212533832];en-ru
[0.2055648726876825, 0.14716860288841416, 0.1773622762504965, 0.22827174683101475, 0.23853570237755775, 0.27790732266148555, 0.2936690883140545, 0.314499831184512, 0.34805263763060795, 0.4476983954943716, 0.4903751509822905, 0.5461853037215769, 0.7118675101548433];en-ru
[0.20111080278671578, 0.1371050274919253, 0.1650514583234326, 0.211821605223231, 0.22002282937668496, 0.25903617036063226, 0.26708117755129934, 0.2908103199582547, 0.3202253133803606, 0.4119611559063196, 0.4555746641894802, 0.5125823199376464, 0.7003256822098046];en-ru
[0.18716120074037462, 0.1359392082435079, 0.1655678581248503, 0.21404951910022646, 0.2265205631381832, 0.26937541195191445, 0.2828888264321722, 0.3059440305456519, 0.33297842166386543, 0.4272944246744737, 0.47983582417480647, 0.5511809951532632, 0.7189080808637663];en-ru
[0.20118281009141356, 0.14654044211783912, 0.18030260190716946, 0.22580870429883362, 0.23477266871836036, 0.27683779048733415, 0.2897019937974983, 0.30892773291096093, 0.33499120644293723, 0.4152214338257909, 0.46052450920455157, 0.5234417844563722, 0.7033072626590728];en-ru
[0.20936435593292116, 0.14096562296726917, 0.1737095476750983, 0.21887422026135028, 0.2277646113105584, 0.26730643953662364, 0.2799780879134778, 0.30652925089700145, 0.3501316990284249, 0.43945115548558533, 0.48488452773541213, 0.5537832982465625, 0.7303317858278752];en-ru
[0.20183148562675343, 0.14270746009773574, 0.17714962450321764, 0.22094556190306322, 0.2341647726530209, 0.2764173898845911, 0.28850171324098484, 0.31079712059348824, 0.33704086240381004, 0.4098162774555385, 0.454171725611086, 0.5132639715634286, 0.7023668585717678];en-ru
[0.1953617217577994, 0.1413531075627543, 0.17995607137214392, 0.21841969033703207, 0.22342744163237513, 0.26182366158813236, 0.28022254097741095, 0.30506679564481604, 0.33591405823652165, 0.4239985652361065, 0.4806160380737856, 0.5435580968018621, 0.7139618620462715];en-ru
[0.19548689466202632, 0.14304693130310625, 0.1745359985716641, 0.22223166326177307, 0.22907360734418034, 0.26266739899641833, 0.2702374575380236, 0.2892065230105072, 0.31537585191428663, 0.39339448522543535, 0.44033552542328835, 0.5056890787649899, 0.710974358022213];en-ru
[0.15120456028031184, 0.11871796627761796, 0.14795717368884653, 0.17999467238783837, 0.1826322049270675, 0.21122316447552295, 0.22202633718610743, 0.23348087130114437, 0.2569936907454394, 0.32539751041680576, 0.38543318985495717, 0.46129395068157464, 0.667649079374969];en-fr
[0.13231704791309312, 0.10937839488498867, 0.13316845466732047, 0.1547573168296367, 0.1546015967428684, 0.17356558554340154, 0.1882215914677363, 0.19046207615407185, 0.22926879540958908, 0.30235651090741156, 0.36594575678929686, 0.4519930525496602, 0.6683757836278528];en-fr
[0.12077185084635858, 0.09978197267046199, 0.12288566718867515, 0.15109394290018827, 0.15285465829540043, 0.1735586405871436, 0.18074255138169973, 0.1912748476417255, 0.22304289719555526, 0.3081499268126208, 0.38999809879926034, 0.48429773004725574, 0.6973611344955861];en-fr
[0.14193328494380694, 0.11454177164123394, 0.1380900223806384, 0.16354909310583024, 0.16920162794645877, 0.1855989921139553, 0.1939238465708331, 0.20263426494784653, 0.24610100393358153, 0.3367507613264024, 0.40956863114610315, 0.48830023664981126, 0.6985530825867318];en-fr
